name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
Samsung S24 Fe 5g 8gb/128gb 6.7´´ One Size,samsung,S24,652.46,,EUR,,,,,amazon_fr,2026-04-21T07:40:52.932371
"Samsung Galaxy S25 FE, Smartphone AI, affichage dynamique AMOLED 2 x 6,7 pouces, appareil photo 50 MP, 8 Go RAM, 256 Go,...[Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T07:40:53.319396
Samsung Galaxy S25 FE S731 5G Dual Sim 8GB RAM 256GB - Jetblack [Energieklasse B] (SM-S731BZKGEUE),samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T07:40:53.701215
Samsung S931 Galaxy S25 5G (6.2'' - 12/256GB) Navy,samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T07:40:53.952549
Samsung Galaxy S25 12gb/128gb 6.2´´ One Size,samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T07:40:54.358311
Samsung Smartphone Galaxy XCover7 Pro 5G Édition Enterprise 128Go/6Go Double SIM Noir,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:40:54.738780
"Samsung Galaxy Z Flip7 FE, Smartphone Android 5G avec Galaxy AI, 256 Go, Smartphone déverrouillé, Noir",samsung,Unknown,898.0,,EUR,,,,,amazon_fr,2026-04-21T07:40:55.056461
"SAMSUNG GALAXY S23 FE 128GB GRAPHITE, un design hérité des Galaxy S23, des photos lumineuses de nuit, un écran fluide et lumineux",samsung,S23,699.0,,EUR,Exclusivité Amazon,,,,amazon_fr,2026-04-21T07:40:55.504920
Samsung GALAXY S25+ 5G SM-S936BZSDEUB,samsung,S25+,,,EUR,,,,,amazon_fr,2026-04-21T07:40:55.764935
"Samsung Galaxy S25 Ultra 5G 12 Go/256 Go Titane Argent (Titanium White Silver) Double SIM SM-S938B - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,S25 Ultra,,,EUR,,,,,amazon_fr,2026-04-21T07:40:56.111905
Samsung GALAXY A26 5G A266B 128GB schwrz,samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T07:40:56.355261
"Samsung Galaxy A56 5G, Smartphone Android, 128 Go, Smartphone déverrouillé, Vert Sauge",samsung,A56,,,EUR,,,,,amazon_fr,2026-04-21T07:40:56.522316
"Samsung Galaxy A26 5G, Smartphone Android, 256 Go, Smartphone déverrouillé, Blanc",samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T07:40:56.958488
Samsung Galaxy A57 5G Lavande 8 Go 128 Go AMZ,samsung,A57,,,EUR,,,,,amazon_fr,2026-04-21T07:40:57.152353
"Samsung Galaxy A16 Smartphone 4GB/128GB 6.7? - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T07:40:57.418850
"Samsung Galaxy A17 5G, Dual, 128GB 4GB Ram, Black",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:40:57.594255
Samsung Galaxy A17 4G 128GB/4GB Double SIM Noir,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:40:57.781990
SAMSUNG - Smartphone Galaxy A14 5G Black 6.6IN 4GB 64GB Android 13,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:40:57.957795
"Samsung Galaxy Xcover 6 Pro 5G, Dual, 128GB 6GB Ram, Black",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:40:58.132452
Samsung A366B Galaxy A36 5G 128 GB Awesome White,samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:40:58.306227
"Samsung Galaxy A35 5G, Dual, 128GB 6GB Ram, Awesome Navy",samsung,A35,,,EUR,,,,,amazon_fr,2026-04-21T07:41:11.559031
SAMSUNG Galaxy Xcover 7 Entreprise Edition 6 6p 128Go,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:11.743637
"Samsung A566B/DS Galaxy A56 5G, Dual, 128GB 8GB Ram, Awesome Graphite",samsung,A56,,,EUR,,,,,amazon_fr,2026-04-21T07:41:12.004995
Samsung A566 Galaxy A56 Enterprise Edition (6.7'' - 8/128GB) Graphite,samsung,A56,,,EUR,,,,,amazon_fr,2026-04-21T07:41:12.210873
Samsung A366 Galaxy A36 Enterprise Edition (6.7'' - 6/128GB) Black,samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:41:12.440223
Samsung A366B Galaxy A36 5G 256GB Lavendel Android-15 4905mAh 50MP AMOLED USB-C,samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T07:41:12.630866
"Smartphone Samsung SM-A175F 6,7"" 4 GB RAM 128 GB Grigio",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:12.811866
"Samsung Galaxy S22 Ultra SM-S908B 17,3 cm (6.8"") Double SIM Android 12 5G USB Type-C 8 Go 128 Go 5000 mAh Blanc",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:13.033608
Samsung Galaxy A17 4G 256GB/8GB Dual SIM Noir,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T07:41:13.407809
"Samsung Galaxy Z Flip7 FE F761B 5G Dual Sim 8GB RAM 256GB - White [Energieklasse B] (SM-F761BZWHEUE) - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T07:41:13.695360
"Samsung A266 Galaxy A26 (6.7'' - 6/128GB) Black - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T07:41:13.912005
